id	problem	tail
1	"In $\triangle{ABC}$ with side lengths $AB = 13$, $AC = 12$, and $BC = 5$, let $O$ and $I$ denote the circumcenter and incenter, respectively. A circle with center $M$ is tangent to the legs $AC$ and $BC$ and to the circumcircle of $\triangle{ABC}$. What is the area of $\triangle{MOI}$?
$\textbf{(A)}\ 5/2\qquad\textbf{(B)}\ 11/4\qquad\textbf{(C)}\ 3\qquad\textbf{(D)}\ 13/4\qquad\textbf{(E)}\ 7/2$The answer is in the form rac{m}{n}, where gcd(m, n) = 1. Please provide the value of m + n."	"* B.x + c * C.x) / (a + b + c + 2 * sp.sqrt(a * b * c))
M_y = (a * A.y + b * B.y + c * C.y) / (a + b + c + 2 * sp.sqrt(a"
2	"In $\triangle{ABC}$ with side lengths $AB = 13$, $AC = 12$, and $BC = 5$, let $O$ and $I$ denote the circumcenter and incenter, respectively. A circle with center $M$ is tangent to the legs $AC$ and $BC$ and to the circumcircle of $\triangle{ABC}$. What is the area of $\triangle{MOI}$?
$\textbf{(A)}\ 5/2\qquad\textbf{(B)}\ 11/4\qquad\textbf{(C)}\ 3\qquad\textbf{(D)}\ 13/4\qquad\textbf{(E)}\ 7/2$The answer is in the form rac{m}{n}, where gcd(m, n) = 1. Please provide the value of m + n."	"* y_B + b * y_C + c * y_A) / (-a + b + c)
M = (Mx, My)

# Area of triangle MOI
x1, y1 = O
x2, y2 = I
x3, y3 = M

area_MO"
3	"In $\triangle{ABC}$ with side lengths $AB = 13$, $AC = 12$, and $BC = 5$, let $O$ and $I$ denote the circumcenter and incenter, respectively. A circle with center $M$ is tangent to the legs $AC$ and $BC$ and to the circumcircle of $\triangle{ABC}$. What is the area of $\triangle{MOI}$?
$\textbf{(A)}\ 5/2\qquad\textbf{(B)}\ 11/4\qquad\textbf{(C)}\ 3\qquad\textbf{(D)}\ 13/4\qquad\textbf{(E)}\ 7/2$The answer is in the form rac{m}{n}, where gcd(m, n) = 1. Please provide the value of m + n."	" + \frac{7}{6} \right| \]
\[ = \frac{1}{2} \left| -\frac{30}{6} + \frac{7}{6} \right| \]
\[ = \frac{1}{2} \left| -\frac{"
4	"In $\triangle{ABC}$ with side lengths $AB = 13$, $AC = 12$, and $BC = 5$, let $O$ and $I$ denote the circumcenter and incenter, respectively. A circle with center $M$ is tangent to the legs $AC$ and $BC$ and to the circumcircle of $\triangle{ABC}$. What is the area of $\triangle{MOI}$?
$\textbf{(A)}\ 5/2\qquad\textbf{(B)}\ 11/4\qquad\textbf{(C)}\ 3\qquad\textbf{(D)}\ 13/4\qquad\textbf{(E)}\ 7/2$The answer is in the form rac{m}{n}, where gcd(m, n) = 1. Please provide the value of m + n."	"- (B.y / sp.sqrt(13**2 - 12**2) - 4 * B.y / 13)))

# Calculate the area of triangle MOI
M = sp.Point(M[0].evalf(), M[1]."
5	"In $\triangle{ABC}$ with side lengths $AB = 13$, $AC = 12$, and $BC = 5$, let $O$ and $I$ denote the circumcenter and incenter, respectively. A circle with center $M$ is tangent to the legs $AC$ and $BC$ and to the circumcircle of $\triangle{ABC}$. What is the area of $\triangle{MOI}$?
$\textbf{(A)}\ 5/2\qquad\textbf{(B)}\ 11/4\qquad\textbf{(C)}\ 3\qquad\textbf{(D)}\ 13/4\qquad\textbf{(E)}\ 7/2$The answer is in the form rac{m}{n}, where gcd(m, n) = 1. Please provide the value of m + n."	"So, the values of \(m\) and \(n\) are 13 and 4 respectively, and \(m + n = 13 + 4 = 17\).

The answer is \(\boxed{17}\)."
6	"In $\triangle{ABC}$ with side lengths $AB = 13$, $AC = 12$, and $BC = 5$, let $O$ and $I$ denote the circumcenter and incenter, respectively. A circle with center $M$ is tangent to the legs $AC$ and $BC$ and to the circumcircle of $\triangle{ABC}$. What is the area of $\triangle{MOI}$?
$\textbf{(A)}\ 5/2\qquad\textbf{(B)}\ 11/4\qquad\textbf{(C)}\ 3\qquad\textbf{(D)}\ 13/4\qquad\textbf{(E)}\ 7/2$The answer is in the form rac{m}{n}, where gcd(m, n) = 1. Please provide the value of m + n."	"ion, and the sum of the numerator and the denominator of this fraction will be provided as the final answer.

Answer: 22"
7	"In $\triangle{ABC}$ with side lengths $AB = 13$, $AC = 12$, and $BC = 5$, let $O$ and $I$ denote the circumcenter and incenter, respectively. A circle with center $M$ is tangent to the legs $AC$ and $BC$ and to the circumcircle of $\triangle{ABC}$. What is the area of $\triangle{MOI}$?
$\textbf{(A)}\ 5/2\qquad\textbf{(B)}\ 11/4\qquad\textbf{(C)}\ 3\qquad\textbf{(D)}\ 13/4\qquad\textbf{(E)}\ 7/2$The answer is in the form rac{m}{n}, where gcd(m, n) = 1. Please provide the value of m + n."	"nd the value of $m + n$.

Answer: $\frac{m}{n}$, where $gcd(m, n) = 1$. The value of $m + n$ is $\frac{m+n}{\gcd(m+n)}$."
8	"In $\triangle{ABC}$ with side lengths $AB = 13$, $AC = 12$, and $BC = 5$, let $O$ and $I$ denote the circumcenter and incenter, respectively. A circle with center $M$ is tangent to the legs $AC$ and $BC$ and to the circumcircle of $\triangle{ABC}$. What is the area of $\triangle{MOI}$?
$\textbf{(A)}\ 5/2\qquad\textbf{(B)}\ 11/4\qquad\textbf{(C)}\ 3\qquad\textbf{(D)}\ 13/4\qquad\textbf{(E)}\ 7/2$The answer is in the form rac{m}{n}, where gcd(m, n) = 1. Please provide the value of m + n."	oint is on the opposite side of the obtuse angle from the hypotenuse. Using the formula for the $90^\circ$ point, we get
9	A \(4 \times 4 \times h\) rectangular box contains a sphere of radius \(2\) and eight smaller spheres of radius \(1\). The smaller spheres are each tangent to three sides of the box, and the larger sphere is tangent to each of the smaller spheres. The original answer is in the form \(k + m\sqrt{n}\). Please find the value of \(k + m + n\).	"= 0\), and \(n = 1\).
- Therefore, the value of \(k + m + n\) is:
  \[
  2 + 0 + 1 = 3
  \]

### Final Answer:
Answer: 3"
10	A \(4 \times 4 \times h\) rectangular box contains a sphere of radius \(2\) and eight smaller spheres of radius \(1\). The smaller spheres are each tangent to three sides of the box, and the larger sphere is tangent to each of the smaller spheres. The original answer is in the form \(k + m\sqrt{n}\). Please find the value of \(k + m + n\).	"(5) = 5^3 + 3 \cdot 5^2 + 3 \cdot 5 = 210\)
6. \(g(6) = 6^3 + 3 \cdot 6^2 + 3 \cdot 6 = 336\)
7. \(g(7) = 7^3 + 3 \cdot "
