id	problem	tail
1	Find the least three-digit number that is equal to the sum of its digits plus twice the product of its digits.	ust be a digit. The only possible solution is when \(A = 1\), \(B = 2\), and \(C = 7\). Therefore, the least three-digit
2	Find the least three-digit number that is equal to the sum of its digits plus twice the product of its digits.	"nteger.
  - \( b = 55 \): \( 33 + 3(55) = 186 \), \( c = \frac{186}{110} \approx 1.69 \) → Not an integer.
  - \( b = 66"
3	Find the least three-digit number that is equal to the sum of its digits plus twice the product of its digits.	e number 110 is the smallest three-digit number that satisfies the equation, we conclude that the answer is Answer: 110.
4	Find the least three-digit number that is equal to the sum of its digits plus twice the product of its digits.	"2 * (1 * 2 * 5) = 1 + 2 + 5 + 20 = 28
125 ≠ 28

126 = 1 + 2 + 6 + 2 * (1 * 2 * 6) = 1 + 2 + 6 + 24 = 33
126 ≠ 33

127 = "
5	Find the least three-digit number that is equal to the sum of its digits plus twice the product of its digits.	"number={number}"")
```
```output
Done
```
The least three-digit number that satisfies the equation is:

\[
\boxed{108}
\]"
6	Find the least three-digit number that is equal to the sum of its digits plus twice the product of its digits.	"}{5} = 138.6 \]
   Not an integer, discard.

8. **\( A = 8 \):**
   \[ B = \frac{99 \times 8}{2 \times 8 - 9} = \frac{79"
7	Find the least three-digit number that is equal to the sum of its digits plus twice the product of its digits.	least three-digit number that is equal to the sum of its digits plus twice the product of its digits is \(\boxed{135}\).
8	Find the least three-digit number that is equal to the sum of its digits plus twice the product of its digits.	" 199 = 1 + 9 + 9 + 2(1 \cdot 9 \cdot 9) = 199 \]
The least three-digit number that satisfies the condition is \( 199 \)."
9	Black and white checkers are placed on an $8 \times 8$ chessboard, with at most one checker on each cell. What is the maximum number of checkers that can be placed such that each row and each column contains twice as many white checkers as black ones?	 8$ chessboard such that each row and each column contains twice as many white checkers as black ones is \(\boxed{32}\).
10	Black and white checkers are placed on an $8 \times 8$ chessboard, with at most one checker on each cell. What is the maximum number of checkers that can be placed such that each row and each column contains twice as many white checkers as black ones?	"hat can be placed such that each row and each column contains twice as many white checkers as black ones is:

Answer: 64"
11	Black and white checkers are placed on an $8 \times 8$ chessboard, with at most one checker on each cell. What is the maximum number of checkers that can be placed such that each row and each column contains twice as many white checkers as black ones?	"ry other cell), which totals to 64 checkers.

Thus, the maximum number of checkers that can be placed is \(\boxed{64}\)."
12	Black and white checkers are placed on an $8 \times 8$ chessboard, with at most one checker on each cell. What is the maximum number of checkers that can be placed such that each row and each column contains twice as many white checkers as black ones?	 can be placed such that each row and each column contains twice as many white checkers as black ones is \(\boxed{24}\).
13	Black and white checkers are placed on an $8 \times 8$ chessboard, with at most one checker on each cell. What is the maximum number of checkers that can be placed such that each row and each column contains twice as many white checkers as black ones?	"ring that each row and each column has twice as many white checkers as black ones.

Therefore, the answer is:
Answer: 32"
14	Black and white checkers are placed on an $8 \times 8$ chessboard, with at most one checker on each cell. What is the maximum number of checkers that can be placed such that each row and each column contains twice as many white checkers as black ones?	" chessboard such that each row and each column contains twice as many white checkers as black ones is:

\[
\boxed{64}
\]"
15	Black and white checkers are placed on an $8 \times 8$ chessboard, with at most one checker on each cell. What is the maximum number of checkers that can be placed such that each row and each column contains twice as many white checkers as black ones?	"s is:
\[32 + 16 = 48.\]

Thus, the maximum number of checkers that can be placed on the chessboard is:
\[
\boxed{48}.
\]"
16	Black and white checkers are placed on an $8 \times 8$ chessboard, with at most one checker on each cell. What is the maximum number of checkers that can be placed such that each row and each column contains twice as many white checkers as black ones?	"ckers. Therefore, the maximum number of checkers is 32 (black checkers) + 16 (white checkers) = 48 checkers.

Answer: 48"
17	Circle $\omega_1$ and $\omega_2$ have centers $(0,6)$ and $(20,0)$, respectively. Both circles have radius $30$, and intersect at two points $X$ and $Y$. The line through $X$ and $Y$ can be written in the form $y = mx+b$. Compute $100m+b$.	solution \(b = 3 - 3\sqrt{91}\) is valid. However, we need to check the consistency and use the positive root. Therefore
18	Circle $\omega_1$ and $\omega_2$ have centers $(0,6)$ and $(20,0)$, respectively. Both circles have radius $30$, and intersect at two points $X$ and $Y$. The line through $X$ and $Y$ can be written in the form $y = mx+b$. Compute $100m+b$.	e through \(X\) and \(Y\) is \(y = -\frac{30}{109}x + \frac{591}{109}\). Thus, \(m = -\frac{30}{109}\) and \(b = \frac{5
19	Circle $\omega_1$ and $\omega_2$ have centers $(0,6)$ and $(20,0)$, respectively. Both circles have radius $30$, and intersect at two points $X$ and $Y$. The line through $X$ and $Y$ can be written in the form $y = mx+b$. Compute $100m+b$.	"{3}x - \frac{91}{3}$. Therefore, $m = \frac{10}{3}$ and $b = -\frac{91}{3}$. The value of $100m + b$ is:
\[ 100 \left( \"
20	Circle $\omega_1$ and $\omega_2$ have centers $(0,6)$ and $(20,0)$, respectively. Both circles have radius $30$, and intersect at two points $X$ and $Y$. The line through $X$ and $Y$ can be written in the form $y = mx+b$. Compute $100m+b$.	"} + \frac{341}{3} = \frac{1000}{3} + \frac{341}{3} = \frac{1341}{3} = 447
\]
Therefore, the answer is:
\[
\boxed{447}
\]"
21	Circle $\omega_1$ and $\omega_2$ have centers $(0,6)$ and $(20,0)$, respectively. Both circles have radius $30$, and intersect at two points $X$ and $Y$. The line through $X$ and $Y$ can be written in the form $y = mx+b$. Compute $100m+b$.	"^2 + \left( \frac{10}{3}x - \frac{103}{3} \right)^2 = 900^2$$

Solving this equation will give us the $x$-coordinates of"
